leader_name,game_type,date,number_of_turns,your_turn_number,is_win,difficult
Leo,4x4x4,2021-11-02,11.0,2.0,True,2.0
Leo,4x4x4,2021-11-02,23.0,2.0,True,2.0
Leo,4x4x4,2021-11-02,29.0,2.0,True,2.0
Leo,4x4x4,2021-11-02,31.0,2.0,True,2.0
Leo,4x4x4,2021-11-03,16.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,60.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,14.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,18.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,20.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,16.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,50.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,18.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,42.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,48.0,2.0,False,3.0
Leo,4x4x4,2021-11-03,57.0,1.0,True,3.0
Leo,4x4x4,2021-11-03,53.0,2.0,False,3.0
Leo,4x4x4,2021-11-03,22.0,2.0,True,3.0
Leo,4x4x4,2021-11-03,45.0,2.0,False,3.0
Leo,4x4x4,2021-11-03,24.0,2.0,True,3.0
Leo,4x4x4,2021-11-03,36.0,2.0,True,3.0
Leo,4x4x4,2021-11-03,27.0,2.0,False,3.0
Leo,4x4x4_levitate,2021-11-04,13.0,2.0,True,3.0
Leo,4x4x4_levitate,2021-11-04,16.0,1.0,True,3.0
Leo,4x4x4_levitate,2021-11-04,14.0,1.0,True,2.0
Leo,4x4x4,2021-11-04,22.0,1.0,True,3.0
Leo,4x4x4,2021-11-04,53.0,2.0,True,3.0
Leo,4x4x4,2021-11-04,10.0,1.0,False,3.0
Leo,4x4x4,2021-11-04,11.0,2.0,False,3.0
4,4x4x4_levitate,2021-11-05,17.0,2.0,True,3.0
Leo,4x4x4_levitate,2021-11-06,15.0,2.0,True,3.0
Leo,4x4x4,2021-11-06,30.0,2.0,False,3.0
Leo,4x4x4,2021-11-06,34.0,2.0,False,3.0
Leo,4x4x4,2021-11-06,53.0,2.0,True,3.0
Leo,4x4x4,2021-11-06,49.0,2.0,True,3.0
Leo,4x4x4,2021-11-06,51.0,2.0,True,3.0
Leo,4x4x4,2021-11-06,63.0,2.0,True,3.0
Leo,4x4x4,2021-11-06,39.0,2.0,True,3.0
Leo,4x4x4,2021-11-07,57.0,2.0,True,3.0
